Degrees Rotated Since Beginning,Degrees Rotated Per Second
0,0
0,-1
0,0
0,0
0,0
0,0
0,0
0,-1
0,0
21,82
56,49
75,22
83,-4
86,0
87,1
87,0
87,0
88,0
88,0
88,0
88,1
88,-1
87,-1
87,0
87,0
87,0
87,0
88,0
88,0
88,0
88,0
88,0
88,3
88,0
88,0
88,0
88,0
88,0
88,0
88,-1
88,0
88,0
88,0
88,0
88,0
89,1
92,8
92,-1
92,-1
91,-1
91,-1
91,-1
91,0
91,0
91,0
91,0
91,-1
91,0
91,-1
90,-1
90,-1
90,0
90,0
90,0
90,-1
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,-1
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,-1
90,0
90,-1
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,-1
90,0
90,0
83,-48
31,-104
3,-22
-1,0
-1,0
0,-1
0,0
0,-1
0,5
0,-1
0,0
0,0
0,0
0,0
0,-1
0,0
0,0
0,0
22,58
42,18
55,14
66,21
80,5
86,0
88,0
88,0
88,0
88,0
88,0
88,0
88,0
88,0
88,0
88,0
88,0
88,1
89,0
89,0
89,0
89,0
89,0
89,0
89,0
89,0
89,0
90,5
90,0
90,-1
90,0
90,0
89,-12
72,-66
28,-79
3,-29
-1,0
-1,0
-1,0
-1,0
-1,3
0,10
1,0
1,0
2,7
2,0
-11,-49
-42,-67
-69,-55
-88,-32
-93,0
-92,0
-92,0
-90,-1
-90,3
-90,0
-90,0
-90,-1
-90,0
-91,-28
-91,0
-91,0
-91,0
-91,0
-91,0
-91,0
-91,0
-91,0
-91,0
-91,0
-91,0
-91,-1
-91,0
-91,0
-91,0
-91,-1
-91,0
-91,0
-90,0
-90,0
-92,-15
-119,-79
-160,-50
-173,-1
-176,-1
-180,-1
-181,-1
-181,-1
-181,0
-181,0
-181,0
-181,-1
-181,0
-181,-1
-181,0
-181,0
-181,0
-181,0
-181,0
-181,0
-182,-4
-182,3
-182,0
-183,0
-182,0
-182,0
-180,0
-180,0
-180,-1
-180,-12
-225,-147
-267,-40
-272,-5
-271,5
-274,0
-274,0
-274,0
-274,0
-274,-18
-308,-93
-352,-19
-359,-9
-361,13
-361,-4
-362,0
-362,0
-362,0
-362,-4
-362,0
-362,0
-362,8
-271,268
-166,186
-55,182
-10,41
-6,35
-5,-2
-3,0
-3,0
-3,-1
-3,0
-3,0
-3,0
-2,0
-3,0
-3,0
-3,-8
-5,-1
-4,0
-4,17
-3,0
-3,0
-3,0
-3,0
-3,0
-3,0
-2,7
-1,3
0,5
0,0
0,0
0,0
0,-1
0,0
0,0
0,0
0,-1
-1,-4
-1,-1
-1,0
-1,0
0,4
0,0
1,14
24,109
66,42
83,44
86,3
88,-1
88,0
88,0
92,14
93,0
93,0
93,0
114,98
159,84
177,13
175,0
175,0
175,0
178,5
179,10
181,0
181,0
181,0
198,61
233,74
265,22
267,0
267,0
266,-6
266,0
269,0
269,3
270,0
270,0
293,91
331,81
347,38
353,0
354,0
355,0
355,0
353,0
356,0
357,1
357,0
357,0
357,0
357,0
358,3
359,1
360,-1
360,0
360,0
360,0
360,0
360,-1
360,1
361,0
361,0
362,8
362,0
362,0
362,0
362,0
362,0
362,0
362,0
362,0
362,0
362,0
362,0
362,0
362,0
364,-1
364,0
364,0
364,0
365,0
364,0
