R,G,B
82,113,224
80,111,225
78,110,221
77,114,222
81,108,227
80,116,223
79,106,223
81,114,226
82,113,225
80,113,225
82,113,221
87,114,229
77,111,221
78,109,221
84,112,226
80,113,225
78,110,219
82,113,228
78,111,225
83,114,226
81,114,226
79,111,223
84,114,230
75,109,223
80,109,224
80,111,225
77,115,222
76,111,221
79,111,224
81,116,224
81,108,227
78,111,223
80,114,224
77,111,221
81,112,225
79,111,224
80,111,226
79,111,224
78,112,224
82,112,223
80,112,225
80,114,228
81,112,224
80,111,223
82,114,226
81,110,225
80,113,225
82,113,225
80,113,226
81,114,227
78,112,224
81,113,225
83,113,225
82,110,222
83,112,226
82,113,225
82,113,225
83,112,227
79,112,224
79,110,226
81,112,221
81,109,229
83,113,230
77,109,219
85,112,227
75,114,218
78,110,223
85,113,228
79,112,221
83,112,226
78,111,221
77,116,224
80,113,225
82,113,226
81,112,224
82,114,228
81,112,224
77,111,224
81,112,223
81,111,225
81,112,225
81,111,223
82,112,224
85,108,232
82,112,224
79,110,224
82,113,224
82,110,226
81,113,225
78,112,220
80,113,227
80,111,222
81,113,224
86,112,225
83,115,228
80,113,224
77,112,225
81,108,227
80,109,225
81,111,224
79,111,224
82,113,221
81,113,225
77,112,224
86,113,223
79,111,224
82,112,226
83,114,227
82,112,225
82,111,230
79,112,223
83,114,226
80,113,226
84,113,226
85,113,227
82,114,224
79,113,222
83,114,229
80,110,221
78,112,222
79,114,226
79,113,220
81,113,225
79,113,223
81,112,224
84,112,227
79,110,224
78,111,224
80,112,225
79,111,224
85,114,229
76,115,222
81,113,224
78,109,224
83,112,224
82,114,224
81,109,227
83,112,225
77,109,224
81,112,224
77,111,224
80,112,225
82,112,225
83,111,230
79,116,227
80,110,225
83,115,226
85,112,226
80,113,225
82,114,226
83,114,226
80,111,224
83,113,226
82,112,224
79,112,225
81,112,226
80,112,226
80,112,225
79,112,225
79,111,224
82,112,225
82,112,224
80,113,226
82,113,226
80,114,224
81,115,226
80,113,224
80,112,227
80,113,225
83,114,231
87,114,229
75,111,222
86,114,227
79,113,224
76,111,221
81,114,224
80,115,220
78,111,224
83,115,227
80,107,223
79,111,225
76,113,225
80,116,225
81,112,225
79,109,221
79,110,224
83,110,226
81,112,224
81,112,225
80,111,224
79,110,225
81,110,229
77,111,223
81,115,225
79,115,221
79,111,224
83,113,230
82,114,226
79,112,224
81,114,226
82,114,228
82,114,224
81,112,225
79,108,220
83,113,227
81,114,226
77,113,222
81,112,230
81,110,225
77,111,224
81,113,226
81,112,227
82,110,225
79,110,223
81,113,225
81,112,224
76,112,223
82,112,224
81,112,224
81,113,224
81,113,224
78,113,224
78,110,222
81,113,224
79,113,225
79,111,223
80,112,225
81,112,225
80,111,223
84,113,226
82,114,226
79,111,226
81,112,227
78,112,225
81,113,224
81,113,224
81,112,224
79,111,224
81,112,225
80,115,222
80,111,222
79,112,224
77,115,222
80,114,225
80,113,225
80,111,225
76,108,221
82,114,226
82,112,223
79,111,222
80,113,226
82,113,226
85,114,230
78,111,223
78,113,223
80,111,223
76,113,224
81,117,224
81,112,225
82,113,225
81,113,225
79,109,224
79,112,226
76,111,217
79,111,224
77,110,220
85,114,230
82,112,225
81,112,224
79,110,224
79,111,224
81,114,223
81,113,222
80,109,224
86,112,226
77,114,225
80,113,227
81,112,226
80,111,224
80,112,228
81,113,225
83,114,226
82,110,226
81,110,224
78,111,220
81,113,226
81,113,225
79,112,224
82,113,225
80,112,225
81,113,224
82,113,225
81,112,225
79,115,229
78,111,225
79,111,223
79,113,225
80,111,224
85,111,232
87,113,222
83,114,222
79,112,223
76,112,224
81,113,224
80,113,224
79,114,224
82,112,226
80,113,222
81,108,227
81,112,225
79,111,224
80,111,224
84,114,224
84,113,230
79,111,223
77,114,226
80,109,226
79,115,224
79,112,222
84,111,224
82,110,222
82,113,224
81,115,225
81,113,224
78,110,219
81,112,224
80,110,226
82,112,227
81,112,224
83,112,220
77,110,223
81,112,222
81,112,226
79,111,222
81,112,224
79,111,223
78,111,222
82,113,224
83,114,223
80,111,223
76,112,223
79,111,223
81,117,224
83,114,230
79,113,223
81,113,226
82,112,224
81,114,220
79,111,225
79,112,225
81,116,227
80,113,226
81,114,227
82,112,223
79,111,218
78,113,221
82,113,226
82,114,226
79,112,224
81,111,224
79,111,223
77,112,221
80,113,226
81,113,225
81,113,222
81,113,226
81,112,225
80,113,225
79,112,224
82,114,226
81,113,225
80,115,216
81,113,225
83,112,225
80,115,229
82,114,226
77,110,221
80,111,224
79,111,223
86,111,227
80,110,224
80,111,223
82,114,226
82,112,224
80,117,224
82,113,227
77,112,220
80,116,224
80,113,224
79,114,223
80,116,227
82,113,222
81,112,225
79,111,223
80,111,223
82,112,224
83,114,226
80,113,225
81,111,225
82,112,224
81,112,224
78,111,220
79,111,223
76,110,222
78,111,224
78,107,225
85,112,231
81,112,224
78,112,223
80,113,225
79,113,223
81,110,226
87,113,227
80,117,223
78,111,222
78,111,224
80,113,226
85,113,228
80,114,224
80,112,224
79,112,223
82,113,225
82,113,225
81,113,227
81,107,227
79,107,224
79,113,224
79,111,224
82,114,226
80,114,226
80,111,224
80,112,226
77,114,225
81,111,223
81,115,222
81,112,224
80,113,226
79,112,224
81,108,223
80,113,229
81,113,226
85,112,222
80,112,227
81,113,226
83,113,228
80,112,225
79,112,219
77,110,222
79,111,224
87,114,227
79,113,221
83,113,225
81,112,224
81,111,226
78,112,224
79,111,224
82,112,228
82,110,227
81,115,223
82,111,225
79,111,224
80,115,222
78,112,221
79,111,223
83,117,225
79,110,225
86,113,230
83,112,226
79,111,225
85,115,228
80,115,226
84,108,229
82,114,226
81,113,225
81,109,225
82,115,222
81,112,224
81,110,224
80,111,223
81,114,226
82,112,227
81,112,225
80,108,227
81,113,224
81,112,223
79,112,224
82,114,225
79,111,218
81,113,225
86,111,228
79,111,224
80,113,225
79,111,224
79,111,224
82,114,226
82,113,226
81,112,224
79,112,224
81,113,224
83,112,225
80,112,226
82,114,226
86,111,228
81,112,224
80,111,223
80,112,225
80,111,224
77,110,221
83,114,226
78,110,221
81,112,224
80,111,223
78,110,223
81,113,225
84,111,222
79,108,224
83,113,226
77,109,222
78,110,222
82,113,227
78,116,223
84,113,231
83,114,228
81,113,226
78,113,224
85,112,228
80,113,226
76,111,223
78,110,219
81,113,223
78,108,228
76,116,225
80,111,223
81,111,226
80,113,228
82,109,226
80,111,225
79,116,224
78,114,224
80,110,220
81,114,225
81,112,225
81,112,224
82,114,228
80,111,221
80,111,223
83,113,227
84,115,227
81,112,226
80,111,224
79,110,223
80,116,221
80,111,223
81,111,223
83,113,221
75,114,225
80,112,223
82,113,226
81,111,223
80,114,220
81,117,224
83,113,226
81,111,224
82,114,225
81,113,225
80,113,226
81,111,224
82,112,227
80,114,222
82,111,227
79,111,223
80,115,226
82,111,224
82,113,229
81,111,223
75,109,222
80,110,225
78,114,225
80,112,225
76,113,224
83,109,229
81,111,227
81,113,224
79,113,224
80,112,222
82,113,227
81,113,224
81,111,225
84,113,226
82,110,226
82,112,222
73,108,219
82,111,224
83,112,226
82,112,224
82,112,224
81,113,224
81,114,224
86,113,226
78,110,221
79,114,223
81,115,225
81,113,224
82,115,225
81,112,223
78,114,222
78,114,227
78,117,221
79,112,223
79,115,220
77,115,227
81,111,224
82,112,223
79,109,224
79,111,222
80,113,225
78,110,224
81,112,224
78,109,220
79,111,225
78,110,222
78,111,222
76,111,221
82,114,221
79,112,224
80,111,223
80,111,225
81,112,224
79,113,226
78,112,218
81,112,225
86,114,227
83,113,228
80,112,223
80,111,224
79,111,224
82,113,226
82,109,225
81,114,227
82,109,227
80,111,225
80,112,226
79,111,225
74,111,221
82,112,225
80,113,226
80,110,225
80,113,225
81,114,225
75,115,222
79,112,223
79,112,226
82,114,225
81,114,225
83,114,226
81,112,224
82,114,225
77,110,221
83,113,227
81,113,225
80,113,224
81,112,224
79,112,224
80,111,225
81,113,225
81,113,223
79,113,225
79,111,224
79,111,224
81,113,225
84,113,227
79,111,224
81,112,224
79,111,223
81,114,224
82,114,226
81,114,228
80,111,225
78,113,223
81,110,228
80,113,226
80,113,226
80,112,225
79,112,225
82,114,225
79,111,225
81,112,224
79,111,223
80,113,225
79,112,225
81,113,225
81,112,227
81,113,225
79,111,224
82,113,225
82,115,225
81,114,227
81,113,225
82,114,228
82,114,226
80,111,225
82,113,225
80,113,224
79,111,224
81,110,225
79,114,225
80,109,225
81,112,225
81,112,224
79,111,223
79,111,224
82,114,226
81,113,225
81,113,225
81,112,224
82,112,224
81,111,228
79,112,224
80,112,225
79,110,225
80,114,226
79,111,223
79,111,224
81,112,228
78,111,224
81,114,226
81,111,224
83,110,227
79,112,225
79,110,224
80,113,226
81,112,224
81,113,225
81,113,226
80,113,226
80,113,226
81,112,226
80,112,226
82,114,227
80,112,223
82,113,226
82,114,226
81,114,226
80,112,227
81,112,224
79,111,224
82,113,225
81,112,224
80,113,226
81,113,225
80,114,226
80,113,226
79,114,223
81,112,226
79,111,224
81,111,226
83,114,227
83,114,226
81,113,226
82,113,224
81,112,224
82,113,226
81,112,224
