R,G,B
144,58,26
144,55,25
145,57,25
142,55,25
143,57,27
142,55,25
140,54,25
142,54,24
142,54,24
144,57,26
143,55,25
145,56,26
144,55,27
143,56,26
142,55,25
142,56,25
145,57,26
141,54,25
143,55,24
145,59,27
142,54,23
142,54,26
144,56,25
144,56,25
143,55,24
143,55,25
144,57,26
142,55,24
144,59,27
143,57,29
144,55,24
144,58,26
141,56,27
143,55,25
142,55,26
144,57,27
143,57,26
142,55,24
144,56,26
143,56,27
142,55,24
141,58,26
141,56,24
144,57,27
144,57,26
143,55,25
143,55,24
144,57,26
145,58,27
143,56,26
145,57,25
144,55,24
143,56,27
142,55,23
144,55,22
144,57,25
143,56,24
143,54,24
144,58,26
144,57,26
141,54,23
141,57,25
144,57,26
143,55,23
140,53,23
142,55,25
145,57,25
142,54,24
143,57,27
140,56,23
144,56,24
143,56,25
144,56,25
143,56,24
143,56,26
144,56,25
141,57,23
143,57,26
145,57,25
144,57,24
143,57,25
144,56,25
141,54,25
144,58,25
142,55,26
146,56,25
147,57,27
145,57,26
142,56,26
145,55,25
144,56,26
142,54,25
144,57,26
143,55,24
146,57,26
142,55,26
145,57,26
142,56,25
141,54,23
143,56,26
144,57,26
146,59,26
143,57,24
143,55,25
143,52,23
143,55,24
144,56,26
142,54,23
144,57,26
142,55,25
142,54,24
144,57,25
144,57,25
143,55,26
143,56,25
143,53,23
143,56,26
142,56,26
142,55,25
143,54,24
144,56,25
142,55,26
146,54,27
145,58,26
143,55,23
140,54,21
143,56,27
142,56,27
143,56,23
145,57,25
142,55,24
141,55,21
142,55,23
144,56,26
144,58,25
144,58,26
142,56,26
144,56,26
142,55,25
142,55,25
143,56,25
141,55,25
141,56,24
142,59,24
144,57,27
142,55,24
145,57,25
143,56,26
144,57,25
141,53,22
142,56,26
145,57,29
146,56,26
142,55,26
142,56,26
142,54,25
144,57,27
141,55,25
144,57,26
143,55,26
142,55,25
143,55,25
145,57,25
142,56,26
140,54,23
141,56,23
147,55,27
146,57,26
143,57,25
142,55,25
142,54,25
144,57,26
142,55,26
143,55,28
143,56,25
145,57,25
141,55,24
142,53,24
145,56,26
144,57,26
142,55,25
144,57,26
142,55,26
143,56,26
145,55,23
143,57,25
143,55,25
142,55,24
144,57,27
142,57,25
142,52,24
141,55,25
146,56,25
144,57,27
145,56,25
141,55,25
142,54,24
141,54,25
144,56,25
143,55,24
143,55,24
144,57,26
145,57,26
142,56,26
141,55,26
143,55,24
143,56,28
144,58,27
141,54,23
144,55,24
142,56,26
145,57,26
143,55,24
142,55,29
144,56,26
144,57,26
142,54,25
146,57,27
143,55,24
144,57,26
142,54,25
141,54,25
144,56,24
144,55,23
142,56,26
145,57,26
145,56,27
142,55,24
142,54,23
144,58,24
145,56,29
145,57,27
144,57,25
142,56,26
144,57,26
142,55,25
142,55,26
144,57,26
145,57,28
142,55,26
143,57,24
142,55,25
143,55,24
141,55,24
143,55,25
143,55,24
146,58,27
145,57,26
144,56,26
143,55,24
142,55,25
142,55,26
144,56,25
144,56,25
143,58,27
143,55,26
142,54,25
142,56,25
141,54,24
142,56,26
144,56,25
145,57,26
142,55,25
144,56,25
143,55,25
144,56,28
143,57,26
144,56,24
141,54,25
142,54,24
141,54,24
142,55,26
143,56,24
143,55,26
