R,G,B
10,13,22
10,13,19
11,15,21
9,13,20
9,13,19
9,14,21
10,14,19
10,14,20
9,13,21
8,12,20
9,12,20
11,15,22
12,14,20
8,12,19
11,13,19
8,12,19
4,11,17
8,12,19
7,13,20
10,15,25
10,12,23
9,14,18
10,13,20
8,11,20
9,14,20
10,14,21
8,13,21
11,15,21
12,17,19
11,13,20
9,15,19
8,13,21
9,12,19
8,13,20
10,14,21
10,13,22
8,12,20
9,13,20
12,13,18
10,13,20
8,12,19
8,12,19
9,14,20
10,14,19
12,15,21
10,12,19
9,13,21
10,17,19
8,13,19
9,13,21
10,13,19
10,14,20
7,12,19
10,13,20
8,13,18
9,12,18
9,14,21
8,13,20
10,13,21
9,12,18
8,12,19
12,14,21
10,14,20
10,13,19
8,13,18
9,12,18
10,14,18
10,14,19
11,13,20
10,13,18
10,13,20
10,13,20
8,12,19
9,11,20
7,12,20
9,13,19
11,12,23
8,12,20
10,16,20
8,12,19
10,13,19
10,15,22
10,14,19
8,12,20
9,11,19
8,12,20
8,13,20
11,15,21
9,13,19
8,12,20
8,12,19
8,12,20
11,16,22
10,14,21
9,13,18
7,14,19
10,12,20
6,9,19
9,12,20
8,12,19
8,12,19
10,14,23
8,12,20
9,14,21
9,14,21
11,13,20
7,13,20
9,13,19
10,14,19
8,12,19
10,12,22
8,12,19
8,14,18
9,12,19
9,14,20
7,11,19
9,13,21
10,14,20
11,15,22
11,13,19
11,14,19
9,14,20
8,13,18
8,12,18
10,14,20
10,16,21
7,11,18
8,13,22
10,13,19
8,12,20
8,12,19
10,14,20
8,12,19
7,13,19
8,12,19
10,13,19
8,12,19
11,15,22
8,12,19
9,12,19
8,12,20
11,15,22
9,13,20
8,12,19
10,11,18
9,13,19
10,14,21
9,15,22
8,12,18
11,16,25
8,12,19
8,12,20
9,13,19
9,15,21
8,14,21
10,15,21
10,13,22
8,12,19
10,14,20
8,13,19
11,15,21
9,11,18
10,14,21
8,12,19
6,15,17
10,14,21
8,12,19
12,16,23
10,16,21
7,12,20
9,10,19
8,11,21
7,12,20
9,14,21
11,14,20
9,18,20
10,14,21
9,15,19
11,14,21
9,14,21
11,15,21
9,14,21
12,14,19
8,12,20
8,15,21
11,15,22
7,12,19
6,16,21
8,12,15
8,11,19
7,11,18
10,13,20
10,15,20
9,12,20
8,12,19
9,12,18
10,14,21
11,14,19
10,12,21
12,15,21
10,14,21
11,13,20
10,15,21
12,15,21
11,15,20
10,14,20
9,14,21
9,13,19
10,13,17
11,14,22
9,14,20
10,16,20
7,12,19
10,14,20
9,12,19
8,12,19
10,14,18
9,15,19
10,12,22
10,14,20
10,14,20
9,12,19
11,14,20
12,12,21
11,14,22
11,15,22
8,11,18
9,14,21
8,12,19
10,14,20
9,12,19
8,12,19
9,13,21
11,13,21
12,16,21
10,14,19
10,13,19
10,13,19
10,14,19
10,14,20
10,12,20
10,14,20
7,12,19
9,14,21
7,12,19
12,11,19
10,13,21
7,12,19
8,12,19
9,14,21
3,14,18
8,12,19
8,12,20
7,9,18
8,11,19
10,13,20
10,14,20
7,10,17
10,13,19
10,14,20
10,11,20
10,14,20
8,12,19
8,11,19
10,13,19
10,13,19
10,14,20
10,14,21
9,12,19
8,14,22
10,13,21
9,12,19
11,15,21
8,11,19
8,12,19
11,13,20
9,14,21
9,14,21
10,14,21
9,12,18
10,14,19
8,12,19
8,13,19
9,13,19
10,14,20
9,11,20
9,14,21
10,14,19
11,13,19
11,15,21
8,12,19
11,15,21
10,14,21
11,13,19
8,12,18
10,14,20
10,14,19
5,11,15
10,12,19
9,14,20
11,15,20
7,12,18
8,13,20
10,14,19
9,14,20
6,11,18
11,15,22
9,13,20
9,13,21
10,14,19
13,12,21
9,12,19
10,14,19
8,12,19
