R,G,B
12,18,19
11,15,17
13,17,20
11,17,18
12,16,17
12,17,18
12,17,18
12,16,18
10,16,18
12,19,20
12,17,18
8,16,15
11,17,20
11,17,18
12,18,18
11,16,19
14,19,20
9,15,16
13,18,19
12,18,18
12,17,18
10,16,19
14,19,20
12,17,18
12,17,18
10,15,18
13,19,20
10,15,18
13,18,18
12,17,19
13,19,20
14,18,19
11,17,16
12,17,20
12,15,20
12,17,19
12,16,18
11,17,18
11,15,18
12,18,19
12,16,18
12,18,19
12,18,20
12,20,19
14,18,19
10,16,18
13,18,19
10,19,17
10,16,18
14,18,19
10,16,18
12,17,20
10,16,18
13,19,20
14,18,19
13,19,20
16,18,21
12,21,18
10,16,20
12,18,19
13,19,20
12,16,18
10,18,19
12,17,19
12,18,19
13,19,20
10,16,19
12,18,19
13,19,21
11,18,20
12,15,20
10,15,18
11,16,20
12,18,18
10,14,20
12,16,19
12,19,20
12,16,18
12,16,20
10,16,17
10,16,17
11,17,18
13,18,19
10,16,18
10,18,16
12,18,19
12,16,19
12,16,19
15,17,24
13,17,19
9,16,17
11,17,20
13,18,19
10,16,18
13,18,19
9,16,17
12,17,20
10,16,18
11,17,19
12,17,18
12,17,20
13,18,19
12,18,20
12,16,19
14,17,19
12,17,17
12,19,20
11,16,18
12,17,18
11,17,20
11,16,17
12,16,18
12,17,18
13,18,19
13,18,20
13,16,20
12,16,18
10,18,16
14,18,21
11,16,20
11,18,19
13,18,19
12,16,18
12,17,20
11,17,22
11,16,17
11,18,18
14,19,20
12,18,18
11,17,19
11,18,19
11,16,19
13,16,18
10,16,18
13,17,19
12,17,19
12,18,18
12,17,19
12,17,20
11,17,20
11,17,19
11,18,18
10,16,17
12,16,18
12,18,19
9,16,17
13,17,18
13,19,20
13,18,20
10,17,18
12,16,21
12,16,18
14,18,21
12,16,17
12,18,21
11,17,19
13,18,17
12,18,18
14,18,19
11,18,19
13,18,19
12,17,19
13,19,20
10,14,16
10,16,18
12,17,18
10,18,20
13,16,19
12,16,18
11,17,18
12,16,18
10,15,18
10,15,18
14,18,20
13,19,18
11,15,18
13,18,18
14,19,20
13,19,20
11,17,18
11,17,19
14,18,19
12,17,19
12,16,19
12,20,23
11,17,19
12,16,18
10,17,19
10,15,18
10,14,17
14,17,21
13,17,18
11,18,20
15,18,21
14,18,21
10,15,16
11,14,20
11,16,18
12,15,22
13,17,19
12,16,18
13,18,19
12,16,19
13,19,20
13,18,19
12,17,18
13,18,19
8,16,20
11,17,18
12,17,18
12,15,18
11,16,17
11,16,17
14,17,19
11,17,19
12,18,18
13,19,20
14,18,19
11,18,17
16,17,20
10,16,19
13,18,20
14,19,21
13,18,20
13,18,19
10,16,18
10,16,19
9,16,17
12,16,18
11,17,19
12,18,19
14,19,20
10,14,14
12,17,18
11,16,18
11,16,18
11,18,18
12,17,18
10,15,18
11,18,19
10,17,18
10,16,19
12,18,20
11,17,21
12,18,19
10,16,18
10,16,18
12,18,19
12,17,18
14,18,18
11,15,20
11,18,19
11,17,19
13,18,20
13,19,20
13,18,19
13,18,19
11,16,17
14,18,20
12,17,19
11,17,19
12,16,18
15,17,19
12,18,19
15,20,18
13,18,19
13,19,20
11,16,17
12,16,18
11,16,17
11,17,18
13,19,20
13,18,19
12,18,19
